step,loss
1,11.092
2,11.1251
3,11.1497
4,11.2456
5,11.0493
6,11.0284
7,11.1608
8,11.2053
9,11.257
10,11.0107
11,10.9116
12,11.0038
13,11.061
14,10.927
15,10.6762
16,10.9232
17,11.2393
18,11.1704
19,10.8522
20,10.8276
21,11.3691
22,10.7223
23,10.9358
24,10.7572
25,11.3318
26,11.4748
27,10.7058
28,10.8143
29,10.8163
30,10.9337
31,10.8432
32,11.3278
33,10.7823
34,10.5716
35,10.3321
36,11.0272
37,10.572
38,10.8972
39,10.4478
40,10.6018
41,11.3175
42,10.5528
43,11.6616
44,10.8281
45,10.9981
46,10.5056
47,10.518
48,11.4529
49,10.5995
50,11.2364
51,10.6177
52,10.4489
53,10.8253
54,10.4754
55,10.8373
56,10.7587
57,10.2558
58,10.3714
59,10.6701
60,10.2866
61,10.5548
62,10.2436
63,10.7658
64,11.723
65,10.3499
66,10.9525
67,10.804
68,10.5483
69,10.5453
70,11.0537
71,10.2002
72,10.2202
73,10.3377
74,10.2592
75,10.5144
76,10.5586
77,10.7195
78,9.97588
79,10.4636
80,10.7176
81,10.192
82,10.3568
83,10.293
84,10.2787
85,10.2033
86,10.6743
87,10.7668
88,9.88692
89,10.7418
90,10.7485
91,10.2613
92,10.5481
93,10.4455
94,10.3559
95,10.3958
96,10.7
97,10.8586
98,10.0082
99,9.66605
100,10.026
